genero;edad;distancia;comida;limpieza;retraso;satisfaccion
Male;59;3800;5;5;0;satisfied
Male;38;1585;4;5;0;satisfied
Female;60;1754;5;3;5;satisfied
Female;37;2452;4;4;121;satisfied
Female;40;612;3;3;0;neutral or dissatisfied
Female;12;580;4;4;0;neutral or dissatisfied
Male;50;1737;5;5;0;neutral or dissatisfied
Female;24;423;4;4;0;satisfied
Male;16;216;1;1;1;neutral or dissatisfied
Male;59;224;4;4;0;neutral or dissatisfied
Female;41;303;3;3;25;satisfied
Male;56;247;4;3;1;satisfied
Male;60;946;4;4;0;satisfied
Male;31;101;3;3;12;neutral or dissatisfied
Male;40;158;3;3;1;neutral or dissatisfied
Female;19;1009;3;3;0;neutral or dissatisfied
Female;39;544;2;4;0;satisfied
Female;22;1481;4;4;0;satisfied
Male;30;224;3;3;0;neutral or dissatisfied
Female;11;446;1;1;7;neutral or dissatisfied
Female;48;945;5;5;0;satisfied
Male;58;837;5;5;0;neutral or dissatisfied
Male;44;522;5;5;8;satisfied
Female;24;528;4;4;2;satisfied
Male;37;1105;3;3;5;neutral or dissatisfied
Female;35;240;3;3;0;neutral or dissatisfied
Male;24;620;4;4;0;satisfied
Female;40;228;4;4;30;satisfied
Male;34;628;2;2;3;neutral or dissatisfied
Male;38;191;3;5;128;neutral or dissatisfied
Female;32;1566;3;3;0;satisfied
Male;48;3761;3;4;0;satisfied
Male;25;612;5;5;0;satisfied
Male;21;1379;4;4;0;satisfied
Male;15;679;3;3;0;neutral or dissatisfied
Male;22;929;4;4;21;satisfied
Male;13;2504;3;3;10;satisfied
Male;36;334;3;3;0;neutral or dissatisfied
Female;17;590;3;3;0;satisfied
Female;70;495;5;1;20;neutral or dissatisfied
Female;51;354;3;3;0;neutral or dissatisfied
Female;33;406;3;3;71;neutral or dissatisfied
Female;30;992;2;2;0;neutral or dissatisfied
Female;24;707;4;4;0;satisfied
Male;47;700;4;4;0;neutral or dissatisfied
Male;38;3904;3;4;0;satisfied
Female;38;1068;2;4;0;neutral or dissatisfied
Male;53;2065;2;1;203;neutral or dissatisfied
Female;20;528;1;1;0;satisfied
Male;27;421;1;1;2;neutral or dissatisfied
Female;51;3526;2;4;0;neutral or dissatisfied
Female;59;1825;3;4;0;neutral or dissatisfied
Male;58;483;5;3;12;satisfied
Female;43;1561;4;4;1;satisfied
Female;34;3755;5;2;0;satisfied
Female;64;554;2;5;0;neutral or dissatisfied
Male;56;1218;3;3;0;neutral or dissatisfied
Female;25;1005;4;4;0;satisfied
Male;25;998;5;5;0;neutral or dissatisfied
Male;30;985;5;5;11;neutral or dissatisfied
Male;16;359;1;1;0;neutral or dissatisfied
Female;56;189;1;2;58;satisfied
Male;49;795;5;5;9;satisfied
Male;63;852;4;4;0;neutral or dissatisfied
Female;61;3114;4;4;66;satisfied
Male;59;1342;4;3;22;satisfied
Male;23;230;5;5;0;neutral or dissatisfied
Female;43;373;2;4;0;satisfied
Female;52;229;2;3;0;satisfied
Male;11;1576;1;1;0;neutral or dissatisfied
Female;67;2754;1;4;2;satisfied
Male;26;1565;5;5;0;neutral or dissatisfied
Female;17;834;2;2;263;neutral or dissatisfied
Female;59;391;3;2;0;neutral or dissatisfied
Female;35;1121;5;5;0;neutral or dissatisfied
Male;48;1013;2;2;0;neutral or dissatisfied
Female;24;199;2;2;10;neutral or dissatisfied
Male;45;733;1;1;108;neutral or dissatisfied
Male;29;944;4;4;48;neutral or dissatisfied
Male;57;3228;5;5;15;satisfied
Female;25;3532;4;4;0;satisfied
Male;52;516;4;3;20;satisfied
Male;48;3360;4;3;31;neutral or dissatisfied
Male;18;691;1;3;315;neutral or dissatisfied
Male;24;489;3;3;0;satisfied
Male;41;332;4;4;43;neutral or dissatisfied
Female;42;541;5;3;0;satisfied
Male;56;1235;4;3;10;satisfied
Male;60;1733;4;4;381;satisfied
Female;46;2402;2;5;0;neutral or dissatisfied
Male;44;238;3;3;13;neutral or dissatisfied
Female;49;2233;2;2;13;neutral or dissatisfied
Female;31;1980;4;4;324;neutral or dissatisfied
Male;59;3808;2;2;0;neutral or dissatisfied
Male;26;1023;2;2;18;neutral or dissatisfied
Male;60;2644;2;3;22;neutral or dissatisfied
Male;22;240;5;5;20;neutral or dissatisfied
Female;25;125;2;2;0;neutral or dissatisfied
Male;42;2075;2;2;0;neutral or dissatisfied
Female;24;1017;3;3;8;neutral or dissatisfied
Male;25;1506;4;4;23;satisfied
Female;32;3678;4;4;0;satisfied
Male;20;1746;4;4;1;neutral or dissatisfied
Male;53;3886;4;2;0;neutral or dissatisfied
Female;24;894;5;5;68;neutral or dissatisfied
Male;37;240;1;4;0;satisfied
Male;45;946;5;5;0;neutral or dissatisfied
Female;44;125;3;2;0;satisfied
Female;32;2475;5;5;0;satisfied
Male;29;821;4;4;62;satisfied
Female;30;442;4;4;2;neutral or dissatisfied
Female;26;316;1;1;0;neutral or dissatisfied
Female;59;3225;2;5;0;satisfied
Female;23;1127;3;3;0;neutral or dissatisfied
Male;58;2608;5;4;0;satisfied
Male;33;308;4;4;0;satisfied
Male;59;2853;2;4;0;neutral or dissatisfied
Female;49;1504;4;2;85;satisfied
Female;53;600;5;4;18;satisfied
Male;30;522;4;4;0;satisfied
Female;15;998;3;5;51;neutral or dissatisfied
Male;66;280;5;4;60;satisfied
Female;45;1034;2;4;1;neutral or dissatisfied
Female;66;319;4;3;0;neutral or dissatisfied
Female;26;1055;2;2;0;satisfied
Male;30;290;4;4;0;satisfied
Female;49;3721;4;5;44;satisfied
Female;26;337;5;5;16;satisfied
Female;43;447;5;5;0;neutral or dissatisfied
Female;42;435;2;5;0;neutral or dissatisfied
Female;20;212;4;4;1;neutral or dissatisfied
Male;14;937;4;4;0;neutral or dissatisfied
Male;16;634;2;2;0;satisfied
Female;22;133;3;3;0;satisfied
Male;41;351;3;3;0;satisfied
Female;43;2133;3;4;0;satisfied
Male;40;1771;4;4;0;neutral or dissatisfied
Female;27;1005;4;4;0;satisfied
Male;54;361;2;2;0;neutral or dissatisfied
Male;70;581;2;2;7;neutral or dissatisfied
Female;29;3294;4;4;7;neutral or dissatisfied
Male;46;2521;4;4;20;neutral or dissatisfied
Female;31;1851;4;4;21;satisfied
Male;43;1035;1;1;59;neutral or dissatisfied
Female;43;2139;3;3;0;satisfied
Male;20;1235;5;5;1;neutral or dissatisfied
Male;39;3993;2;3;0;satisfied
Female;62;3490;2;3;22;satisfied
Male;40;689;4;4;179;satisfied
Female;7;642;5;5;0;neutral or dissatisfied
Female;24;775;3;3;0;neutral or dissatisfied
Female;50;181;1;1;0;neutral or dissatisfied
Male;50;1024;4;4;2;satisfied
Male;24;819;1;1;19;satisfied
Female;69;317;2;1;0;neutral or dissatisfied
Female;26;900;4;4;92;neutral or dissatisfied
Male;45;3923;4;3;59;neutral or dissatisfied
Female;8;1501;2;2;0;neutral or dissatisfied
Male;51;488;5;5;0;neutral or dissatisfied
Male;25;544;1;1;0;neutral or dissatisfied
Female;41;846;4;4;0;satisfied
Male;23;2858;4;4;7;satisfied
Male;55;834;3;4;43;neutral or dissatisfied
Female;57;2023;2;5;5;satisfied
Female;42;448;2;3;16;neutral or dissatisfied
Male;58;802;5;5;0;neutral or dissatisfied
Male;40;3347;4;4;0;satisfied
Male;63;271;3;3;20;satisfied
Female;18;1231;2;2;0;neutral or dissatisfied
Female;16;771;2;2;0;neutral or dissatisfied
Female;8;1389;5;5;0;neutral or dissatisfied
Female;52;309;2;4;6;neutral or dissatisfied
Male;29;731;4;4;27;satisfied
Female;34;102;2;5;0;satisfied
Male;65;651;2;2;0;neutral or dissatisfied
Female;43;1814;4;3;10;neutral or dissatisfied
Female;59;304;1;5;0;satisfied
Female;42;828;2;5;0;satisfied
Male;63;2780;3;3;100;satisfied
Male;58;502;2;2;0;neutral or dissatisfied
Female;56;2414;2;5;25;satisfied
Male;53;777;2;2;0;neutral or dissatisfied
Female;28;834;4;4;0;satisfied
Female;27;1970;1;1;0;satisfied
Female;22;1195;5;5;47;satisfied
Male;39;1064;1;1;0;neutral or dissatisfied
Male;43;551;4;4;0;neutral or dissatisfied
Male;29;106;5;5;0;neutral or dissatisfied
Male;28;73;3;3;42;neutral or dissatisfied
Female;33;689;5;5;0;neutral or dissatisfied
Female;37;414;3;3;143;neutral or dissatisfied
Male;58;650;3;2;9;neutral or dissatisfied
Male;13;484;1;1;8;neutral or dissatisfied
Female;51;277;4;5;0;neutral or dissatisfied
Female;49;984;1;1;0;neutral or dissatisfied
Male;37;125;5;5;3;satisfied
Female;58;1507;4;4;3;satisfied
Male;64;223;4;4;0;neutral or dissatisfied
Female;10;964;4;4;2;satisfied
Male;9;651;1;1;0;neutral or dissatisfied
Female;52;2174;2;1;1;neutral or dissatisfied
Female;47;781;1;1;44;neutral or dissatisfied
Male;43;1008;3;3;0;neutral or dissatisfied
Male;33;1084;4;4;0;neutral or dissatisfied
Female;42;1907;1;1;186;satisfied
Female;42;528;3;4;0;neutral or dissatisfied
Male;60;607;4;4;0;neutral or dissatisfied
Male;48;895;4;4;0;neutral or dissatisfied
Female;40;1448;1;1;0;neutral or dissatisfied
Female;21;1182;5;5;0;neutral or dissatisfied
Male;9;594;5;5;0;neutral or dissatisfied
Female;25;954;1;1;0;neutral or dissatisfied
Female;54;173;5;3;52;neutral or dissatisfied
Male;47;212;5;3;0;satisfied
Male;54;393;3;4;0;satisfied
Female;35;298;2;1;0;satisfied
Male;27;1379;3;3;0;neutral or dissatisfied
Male;68;1258;2;2;0;neutral or dissatisfied
Female;48;1836;2;5;7;satisfied
Male;45;912;5;5;0;neutral or dissatisfied
Male;51;3848;1;4;0;neutral or dissatisfied
Female;60;1664;5;5;0;satisfied
Female;40;818;5;5;0;satisfied
Male;39;260;5;5;0;neutral or dissatisfied
Male;24;334;4;4;4;satisfied
Male;36;787;1;1;0;neutral or dissatisfied
Male;14;1107;4;4;0;neutral or dissatisfied
Male;43;1587;5;5;1;neutral or dissatisfied
Male;26;757;4;4;0;neutral or dissatisfied
Female;30;590;2;2;17;neutral or dissatisfied
Male;35;1808;2;3;12;satisfied
Male;46;3046;5;5;0;satisfied
Female;44;2603;4;1;0;neutral or dissatisfied
Female;66;460;2;2;0;neutral or dissatisfied
Female;45;109;3;5;175;neutral or dissatisfied
Female;36;1592;3;4;0;satisfied
Female;23;689;4;4;0;neutral or dissatisfied
Female;21;399;4;4;1;neutral or dissatisfied
Male;47;1107;3;3;0;neutral or dissatisfied
Female;46;405;2;4;60;neutral or dissatisfied
Female;46;1428;1;1;87;neutral or dissatisfied
Female;25;399;5;5;0;neutral or dissatisfied
Female;24;1249;3;3;10;neutral or dissatisfied
Male;51;1090;1;1;110;neutral or dissatisfied
Male;51;297;5;4;49;satisfied
Male;10;991;5;5;0;neutral or dissatisfied
Male;30;948;4;4;9;neutral or dissatisfied
Female;23;864;3;3;1;neutral or dissatisfied
Female;42;414;3;3;0;neutral or dissatisfied
Male;46;1972;5;3;0;satisfied
Male;37;1585;4;4;0;neutral or dissatisfied
Male;49;3111;5;3;0;satisfied
Male;57;143;1;1;0;neutral or dissatisfied
Female;34;3293;2;3;1;satisfied
Male;35;1491;4;4;0;neutral or dissatisfied
Male;53;622;3;3;0;satisfied
Female;52;585;2;2;5;neutral or dissatisfied
Male;27;2916;5;5;0;satisfied
Female;19;359;4;4;0;satisfied
Female;64;507;2;5;65;neutral or dissatisfied
Male;27;3339;3;3;25;satisfied
Male;43;363;3;2;0;satisfied
Female;49;2811;5;4;0;satisfied
Female;29;909;4;4;19;neutral or dissatisfied
Male;11;534;3;3;16;neutral or dissatisfied
Female;30;2773;4;4;65;satisfied
Male;28;2986;3;3;0;neutral or dissatisfied
Male;60;187;5;5;0;satisfied
Male;69;872;3;3;8;neutral or dissatisfied
Female;23;1171;3;3;0;neutral or dissatisfied
Male;40;209;2;2;0;satisfied
Male;28;342;1;1;9;neutral or dissatisfied
Male;32;2172;3;3;0;satisfied
Female;42;1846;1;2;10;neutral or dissatisfied
Female;7;2390;1;1;47;neutral or dissatisfied
Male;47;834;3;5;214;neutral or dissatisfied
Male;39;581;3;3;38;satisfied
Male;20;323;5;5;0;neutral or dissatisfied
Male;72;237;4;4;0;neutral or dissatisfied
Male;47;2486;3;3;0;satisfied
Male;26;594;2;2;6;neutral or dissatisfied
Male;42;3242;4;5;21;satisfied
Male;17;328;1;1;0;satisfied
Female;25;569;4;4;0;neutral or dissatisfied
Male;39;301;1;1;0;neutral or dissatisfied
Female;52;2673;1;4;0;satisfied
Male;13;986;4;4;0;neutral or dissatisfied
Male;17;1303;5;5;0;satisfied
Male;22;416;5;5;0;satisfied
Female;30;3822;4;4;242;neutral or dissatisfied
Female;25;1648;1;1;70;neutral or dissatisfied
Male;26;2419;5;5;10;satisfied
Female;41;907;4;4;0;satisfied
Male;30;1926;4;4;0;satisfied
Female;23;1020;3;3;75;neutral or dissatisfied
Male;47;590;1;1;75;neutral or dissatisfied
Male;51;2449;5;3;0;satisfied
Female;47;86;1;4;43;satisfied
Male;45;1898;5;1;0;neutral or dissatisfied
Female;45;1024;2;3;0;neutral or dissatisfied
Male;59;1411;5;4;7;satisfied
Male;22;297;4;4;0;neutral or dissatisfied
Female;40;297;4;5;21;satisfied
Male;26;651;3;3;0;neutral or dissatisfied
Female;58;3262;4;3;0;satisfied
Female;36;2873;4;2;0;satisfied
Male;40;3230;5;5;0;satisfied
Male;38;1235;5;5;0;satisfied
Male;66;450;4;4;0;neutral or dissatisfied
Male;70;928;2;2;37;neutral or dissatisfied
Female;32;96;5;5;0;neutral or dissatisfied
Female;68;224;3;4;0;neutral or dissatisfied
Female;28;3965;4;4;0;satisfied
Female;34;370;3;3;0;neutral or dissatisfied
Male;35;366;3;3;0;neutral or dissatisfied
Female;65;598;4;3;90;satisfied
Female;36;374;2;2;49;neutral or dissatisfied
Female;60;1844;5;4;42;satisfied
Male;39;147;4;4;0;neutral or dissatisfied
Male;19;304;1;1;14;neutral or dissatisfied
Female;60;226;4;4;0;neutral or dissatisfied
Male;15;67;2;2;0;satisfied
Female;39;680;2;5;0;satisfied
Female;69;248;5;3;9;neutral or dissatisfied
Female;48;689;4;3;27;satisfied
Male;44;1188;2;5;9;satisfied
Female;44;646;3;1;0;neutral or dissatisfied
Male;32;315;5;5;0;satisfied
Male;55;391;4;4;0;satisfied
Male;66;130;4;4;0;satisfied
Male;54;2419;2;2;4;neutral or dissatisfied
Male;42;569;5;4;0;satisfied
Female;39;545;1;1;15;neutral or dissatisfied
Male;48;2758;3;3;0;neutral or dissatisfied
Female;36;177;1;1;17;neutral or dissatisfied
Female;38;771;3;3;83;neutral or dissatisfied
Female;23;1590;4;1;290;satisfied
Male;45;299;3;3;20;neutral or dissatisfied
Female;51;991;3;4;0;satisfied
Female;43;689;3;4;10;neutral or dissatisfied
Male;49;1699;3;3;0;satisfied
Male;30;3683;4;4;86;satisfied
Female;50;432;3;4;0;neutral or dissatisfied
Female;44;838;5;2;0;neutral or dissatisfied
Female;32;1080;2;2;0;neutral or dissatisfied
Female;52;711;2;1;0;neutral or dissatisfied
Female;66;1744;1;1;0;neutral or dissatisfied
Male;37;170;5;5;0;satisfied
Female;46;1013;5;1;3;neutral or dissatisfied
Male;33;403;3;3;0;neutral or dissatisfied
Female;37;862;1;1;4;neutral or dissatisfied
Female;36;502;3;3;0;neutral or dissatisfied
Male;49;113;4;4;0;neutral or dissatisfied
Female;63;1312;3;4;5;neutral or dissatisfied
Female;53;1505;3;4;0;neutral or dissatisfied
Female;34;948;1;1;0;neutral or dissatisfied
Male;34;1428;4;4;17;satisfied
Male;23;986;2;2;15;neutral or dissatisfied
Male;28;829;1;1;0;neutral or dissatisfied
Male;60;2615;4;4;0;neutral or dissatisfied
Female;57;125;5;2;0;neutral or dissatisfied
Male;49;337;2;2;0;neutral or dissatisfied
Female;39;2840;3;5;5;satisfied
Female;58;2759;2;4;59;satisfied
Female;16;200;3;3;0;satisfied
Male;69;853;3;3;0;satisfied
Female;22;1546;1;1;18;satisfied
Male;15;488;3;3;0;neutral or dissatisfied
Male;22;235;4;4;22;neutral or dissatisfied
Female;41;3646;5;3;0;satisfied
Female;24;651;2;2;0;satisfied
Male;64;345;5;5;0;neutral or dissatisfied
Female;12;737;2;2;3;neutral or dissatisfied
Female;58;190;5;1;28;neutral or dissatisfied
Female;39;1276;5;4;0;satisfied
Female;15;646;4;4;0;neutral or dissatisfied
Female;22;967;3;3;66;neutral or dissatisfied
Female;59;1444;4;4;15;satisfied
Male;61;255;5;5;0;neutral or dissatisfied
Female;30;1069;4;4;0;satisfied
Female;25;761;3;3;0;neutral or dissatisfied
Female;23;681;5;5;0;satisfied
Male;18;667;4;4;0;neutral or dissatisfied
Male;50;813;3;3;0;neutral or dissatisfied
Male;56;429;2;3;1;neutral or dissatisfied
Male;43;733;4;3;0;satisfied
Female;18;156;3;3;1;neutral or dissatisfied
Male;25;247;3;3;6;neutral or dissatisfied
Female;59;930;5;4;0;neutral or dissatisfied
Male;22;141;4;4;0;satisfied
Male;16;331;3;3;0;neutral or dissatisfied
Female;60;296;3;5;0;satisfied
Female;25;334;3;3;0;neutral or dissatisfied
Male;37;190;5;5;4;neutral or dissatisfied
Male;45;1612;4;5;0;satisfied
Female;51;547;2;3;0;neutral or dissatisfied
Male;39;2890;5;5;0;satisfied
Male;24;1546;4;4;0;satisfied
Male;22;431;3;3;71;neutral or dissatisfied
Male;18;577;5;5;13;neutral or dissatisfied
Male;79;1889;1;1;0;satisfied
Female;35;129;4;4;0;neutral or dissatisfied
Male;48;2844;4;3;18;satisfied
Male;37;647;3;3;0;neutral or dissatisfied
Female;42;3682;4;5;18;satisfied
Male;22;1282;4;4;0;satisfied
Female;43;351;3;3;2;satisfied
Female;46;395;3;3;0;neutral or dissatisfied
Female;77;356;4;1;8;satisfied
Female;27;429;3;3;4;satisfied
Male;45;448;5;4;5;satisfied
Female;27;1620;1;1;0;neutral or dissatisfied
Female;66;612;2;3;0;neutral or dissatisfied
Male;12;721;1;1;0;neutral or dissatisfied
Male;22;250;2;2;0;satisfied
Female;31;626;2;2;0;neutral or dissatisfied
Male;22;784;2;2;0;neutral or dissatisfied
Male;47;2939;2;4;17;satisfied
Male;36;305;3;3;0;neutral or dissatisfied
Male;52;1846;5;3;35;satisfied
Male;27;1199;3;3;0;neutral or dissatisfied
Female;32;551;4;4;0;satisfied
Male;44;2053;3;3;45;satisfied
Male;40;3904;1;4;0;satisfied
Male;32;954;5;5;0;satisfied
Female;64;1205;2;4;6;neutral or dissatisfied
Female;23;2579;4;4;0;satisfied
Male;35;1624;5;5;0;satisfied
Male;29;745;2;2;1;satisfied
Male;42;134;4;4;0;satisfied
Male;37;2599;4;4;0;satisfied
Female;38;602;5;5;0;satisfied
Female;24;1473;4;4;133;satisfied
Male;25;590;2;2;36;neutral or dissatisfied
Male;23;862;2;2;26;neutral or dissatisfied
Female;59;192;5;4;0;satisfied
Female;35;761;2;2;131;neutral or dissatisfied
Male;66;495;1;1;46;neutral or dissatisfied
Female;52;411;1;5;7;satisfied
Female;28;129;3;3;0;neutral or dissatisfied
Female;49;2139;5;3;56;neutral or dissatisfied
Female;45;483;4;5;92;satisfied
Female;53;2446;4;3;0;satisfied
Female;34;738;5;5;0;neutral or dissatisfied
Female;54;31;4;2;18;neutral or dissatisfied
Female;34;280;2;2;0;neutral or dissatisfied
Male;44;130;4;4;0;satisfied
Female;38;545;2;2;52;neutral or dissatisfied
Female;17;399;5;5;0;neutral or dissatisfied
Male;34;2139;5;5;0;neutral or dissatisfied
Male;47;954;1;1;0;neutral or dissatisfied
Female;13;226;4;4;11;neutral or dissatisfied
Male;38;3655;2;1;0;satisfied
Male;22;427;4;4;16;neutral or dissatisfied
Male;51;1028;2;5;37;satisfied
Male;31;3360;4;4;0;satisfied
Female;48;746;2;1;0;neutral or dissatisfied
Male;19;305;2;2;107;neutral or dissatisfied
Female;29;3973;4;4;2;satisfied
Male;21;1120;3;3;0;neutral or dissatisfied
Female;25;226;3;3;0;neutral or dissatisfied
Male;43;763;4;4;0;neutral or dissatisfied
Female;47;308;5;5;2;satisfied
Female;37;3674;5;5;38;satisfied
Female;17;1192;2;2;0;neutral or dissatisfied
Male;37;192;3;3;0;neutral or dissatisfied
Male;36;143;4;4;0;satisfied
Male;53;2180;3;3;0;satisfied
Male;25;1014;5;5;0;neutral or dissatisfied
Female;50;2993;4;5;3;satisfied
Female;21;2504;3;3;21;neutral or dissatisfied
Female;27;1099;3;3;0;neutral or dissatisfied
Female;30;636;3;3;7;neutral or dissatisfied
Male;39;331;4;4;0;neutral or dissatisfied
Female;59;160;1;1;0;neutral or dissatisfied
Female;66;223;4;4;0;satisfied
Male;50;1069;2;1;79;neutral or dissatisfied
Female;19;580;3;3;0;neutral or dissatisfied
Male;14;1172;3;3;0;satisfied
Female;35;416;1;1;0;neutral or dissatisfied
Male;7;1047;1;1;0;neutral or dissatisfied
Female;44;667;5;5;83;neutral or dissatisfied
Female;27;836;4;3;170;satisfied
Male;48;3791;3;4;0;satisfied
Female;48;447;2;3;0;satisfied
Male;43;589;3;3;10;neutral or dissatisfied
Male;26;922;4;4;63;neutral or dissatisfied
Male;30;2462;4;4;0;satisfied
Male;34;2565;4;3;0;neutral or dissatisfied
Male;50;925;5;4;0;satisfied
Female;30;100;1;1;13;neutral or dissatisfied
Male;50;3587;2;4;7;satisfied
Male;28;2226;5;5;1;satisfied
Female;69;377;4;5;0;satisfied
Male;59;3601;3;3;0;satisfied
Female;53;151;4;4;0;satisfied
Male;51;1136;2;2;2;neutral or dissatisfied
Male;57;2619;4;4;0;satisfied
Female;57;3501;5;5;0;satisfied
Female;32;236;1;1;10;neutral or dissatisfied
Female;21;373;2;2;0;neutral or dissatisfied
Female;36;631;1;1;0;neutral or dissatisfied
Male;58;3334;2;5;0;satisfied
Male;40;199;4;4;0;satisfied
Female;44;2572;2;3;0;satisfied
Female;23;762;5;5;8;neutral or dissatisfied
Male;36;547;2;2;0;neutral or dissatisfied
Male;39;1640;5;4;0;satisfied
Male;39;552;5;5;0;neutral or dissatisfied
Female;46;3003;1;2;0;neutral or dissatisfied
Female;40;2885;4;3;4;satisfied
Female;60;328;1;5;0;satisfied
Male;44;1874;4;4;0;satisfied
Female;52;861;4;4;5;neutral or dissatisfied
Male;22;190;1;1;0;neutral or dissatisfied
Male;22;522;2;2;0;neutral or dissatisfied
Male;26;3267;3;3;30;neutral or dissatisfied
Female;17;3808;5;5;0;satisfied
Female;59;1675;5;3;2;satisfied
Male;26;447;5;5;0;neutral or dissatisfied
Female;49;1068;3;5;42;satisfied
Male;57;2747;3;2;0;neutral or dissatisfied
Female;53;280;3;4;0;neutral or dissatisfied
Male;63;820;1;3;0;neutral or dissatisfied
Male;54;1235;3;3;0;neutral or dissatisfied
Male;14;591;3;3;0;neutral or dissatisfied
Male;65;109;3;3;0;neutral or dissatisfied
Male;43;213;1;3;0;neutral or dissatisfied
Male;39;1064;2;2;0;neutral or dissatisfied
Male;65;1400;3;3;8;neutral or dissatisfied
Male;20;909;1;1;41;neutral or dissatisfied
Female;47;2854;5;4;10;satisfied
Male;36;413;5;5;48;neutral or dissatisfied
Male;41;1601;3;3;0;satisfied
Female;54;1739;3;4;56;satisfied
Male;41;1626;5;3;0;satisfied
Female;43;687;4;4;0;neutral or dissatisfied
Male;51;516;5;5;0;neutral or dissatisfied
Female;23;484;2;2;0;neutral or dissatisfied
Male;40;1598;2;2;0;neutral or dissatisfied
Female;42;280;5;2;0;neutral or dissatisfied
Female;38;1674;3;3;3;neutral or dissatisfied
Male;26;1235;3;3;0;neutral or dissatisfied
Female;37;462;5;5;3;neutral or dissatisfied
Female;54;3879;3;5;0;satisfied
Male;18;429;4;4;0;neutral or dissatisfied
Female;48;1069;3;2;56;neutral or dissatisfied
Male;44;867;4;4;2;satisfied
Male;37;134;1;1;0;neutral or dissatisfied
Female;25;589;2;2;88;neutral or dissatisfied
Female;68;626;5;4;22;neutral or dissatisfied
Female;40;3393;5;4;15;satisfied
Male;53;813;2;3;18;satisfied
Female;17;402;5;5;16;neutral or dissatisfied
Female;49;2749;2;1;0;neutral or dissatisfied
Male;44;829;5;5;16;neutral or dissatisfied
Female;30;312;2;2;0;neutral or dissatisfied
Female;50;397;5;4;29;satisfied
Female;37;406;3;3;0;neutral or dissatisfied
Female;23;446;2;2;0;neutral or dissatisfied
Female;38;102;3;3;0;neutral or dissatisfied
Male;41;2342;3;1;0;neutral or dissatisfied
Female;22;315;3;3;0;neutral or dissatisfied
Male;57;870;2;1;0;neutral or dissatisfied
Male;40;3784;4;4;4;satisfied
Male;25;1053;3;3;0;neutral or dissatisfied
Male;55;422;2;2;0;neutral or dissatisfied
Female;24;484;1;1;0;satisfied
Male;44;395;4;4;0;neutral or dissatisfied
Female;26;488;3;3;0;neutral or dissatisfied
Male;70;306;5;5;0;neutral or dissatisfied
Female;41;3928;4;3;0;neutral or dissatisfied
Male;18;323;1;1;101;neutral or dissatisfied
Female;39;1797;3;3;10;neutral or dissatisfied
Female;37;431;3;3;0;neutral or dissatisfied
Male;21;838;5;5;9;neutral or dissatisfied
Male;37;372;4;4;0;satisfied
Male;40;3896;4;5;0;satisfied
Male;38;936;3;3;0;neutral or dissatisfied
Male;16;1011;2;2;0;satisfied
Male;40;1916;3;3;46;satisfied
Female;39;447;2;2;26;neutral or dissatisfied
Female;38;456;3;3;103;neutral or dissatisfied
Male;62;1065;3;3;0;neutral or dissatisfied
Female;40;390;5;5;0;satisfied
Male;23;692;5;5;0;satisfied
Female;37;2788;2;3;37;satisfied
Male;27;621;1;1;10;neutral or dissatisfied
Male;38;1721;5;3;6;satisfied
Male;48;3465;3;3;10;satisfied
Male;49;628;5;5;0;neutral or dissatisfied
Female;37;184;1;2;13;neutral or dissatisfied
Male;23;259;3;3;0;neutral or dissatisfied
Male;30;1689;5;5;29;satisfied
Female;20;130;5;5;0;satisfied
Female;26;631;1;1;0;neutral or dissatisfied
Male;45;2614;3;5;12;satisfied
Female;53;2865;5;5;0;satisfied
Female;43;459;3;2;0;neutral or dissatisfied
Female;47;2509;3;5;0;satisfied
Female;48;1605;5;4;0;neutral or dissatisfied
Male;14;1605;4;4;6;satisfied
Male;33;493;2;2;49;neutral or dissatisfied
Female;53;794;4;4;20;satisfied
Female;8;175;2;2;0;neutral or dissatisfied
Female;36;337;4;4;15;neutral or dissatisfied
Male;59;1795;2;3;0;satisfied
Male;22;912;4;4;0;neutral or dissatisfied
Female;24;421;3;3;11;neutral or dissatisfied
Female;25;2248;3;3;0;neutral or dissatisfied
Female;22;731;1;1;0;neutral or dissatisfied
Male;64;1475;4;4;0;neutral or dissatisfied
Male;22;399;4;4;47;neutral or dissatisfied
Male;47;3431;5;4;27;satisfied
Male;7;1846;2;2;0;neutral or dissatisfied
Female;63;337;3;5;0;satisfied
Female;35;550;2;2;0;neutral or dissatisfied
Male;67;495;4;4;0;neutral or dissatisfied
Male;49;2951;1;2;2;neutral or dissatisfied
Female;40;2600;4;5;26;satisfied
Female;23;854;3;3;8;satisfied
Female;43;429;5;5;39;neutral or dissatisfied
Male;24;925;4;4;9;neutral or dissatisfied
Male;15;814;3;3;0;neutral or dissatisfied
Male;25;760;3;3;0;neutral or dissatisfied
Female;55;2265;5;5;0;satisfied
Male;60;684;4;4;0;satisfied
Female;35;122;2;4;84;satisfied
Male;24;566;2;2;5;satisfied
Male;32;3324;2;2;0;neutral or dissatisfied
Male;47;738;2;2;0;neutral or dissatisfied
Female;50;3809;5;5;39;satisfied
Female;23;302;1;1;28;satisfied
Female;39;3811;4;4;310;satisfied
Male;47;1187;4;4;0;satisfied
Male;67;610;1;1;103;neutral or dissatisfied
Female;56;370;4;1;0;neutral or dissatisfied
Male;22;605;2;2;35;satisfied
